wc,fh,tc,phase,player_id,web_name,club_short,position,cost,expected_role
4,12,17,pre-WC,562,Maeda,IPS,MID,5.5,Regular Starter
4,12,17,pre-WC,346,Calvert-Lewin,LEE,FWD,6.0,Nailed Starter
4,12,17,pre-WC,109,Verbruggen,BHA,GKP,4.5,Nailed Starter
4,12,17,FH,4,Gabriel,ARS,DEF,8.0,Nailed Starter
4,12,17,FH,504,Vuskovic,BHA,DEF,5.0,Nailed Starter
4,12,17,FH,426,B.Fernandes,MUN,MID,12.0,Nailed Starter
4,12,17,FH,8,Calafiori,ARS,DEF,5.5,Regular Starter
4,12,17,FH,379,Isak,LIV,FWD,9.0,Nailed Starter
4,12,17,FH,154,Palmer,CHE,MID,9.5,Nailed Starter
4,12,17,FH,130,Wieffer,BHA,DEF,5.0,Nailed Starter
4,12,17,FH,1,Raya,ARS,GKP,6.0,Nailed Starter
4,12,17,FH,68,Tavernier,BOU,MID,6.0,Nailed Starter
4,12,17,FH,208,Sarr,CRY,MID,6.5,Nailed Starter
4,12,17,FH,165,João Pedro,CHE,FWD,7.5,Nailed Starter
4,12,17,FH,244,Armstrong,EVE,MID,5.0,Regular Starter
4,12,17,FH,31,Konsa,AVL,DEF,4.5,Regular Starter
4,12,17,FH,572,Tzolakis,HUL,GKP,4.5,Regular Starter
4,12,17,FH,249,Barry,EVE,FWD,5.5,Regular Starter
4,12,17,WC rebuild,411,Haaland,MCI,FWD,15.5,Nailed Starter
4,12,17,WC rebuild,4,Gabriel,ARS,DEF,8.0,Nailed Starter
4,12,17,WC rebuild,504,Vuskovic,BHA,DEF,5.0,Nailed Starter
4,12,17,WC rebuild,557,Tzolis,ARS,MID,6.5,Regular Starter
4,12,17,WC rebuild,8,Calafiori,ARS,DEF,5.5,Regular Starter
4,12,17,WC rebuild,379,Isak,LIV,FWD,9.0,Nailed Starter
4,12,17,WC rebuild,154,Palmer,CHE,MID,9.5,Nailed Starter
4,12,17,WC rebuild,130,Wieffer,BHA,DEF,5.0,Nailed Starter
4,12,17,WC rebuild,388,Guéhi,MCI,DEF,6.0,Nailed Starter
4,12,17,WC rebuild,208,Sarr,CRY,MID,6.5,Nailed Starter
4,12,17,WC rebuild,384,Donnarumma,MCI,GKP,5.5,Nailed Starter
4,12,17,WC rebuild,289,Crooks,HUL,MID,4.5,Regular Starter
4,12,17,WC rebuild,321,Walle Egeli,IPS,FWD,4.5,Regular Starter
4,12,17,WC rebuild,290,Slater,HUL,MID,4.5,Regular Starter
4,12,17,WC rebuild,572,Tzolakis,HUL,GKP,4.5,Regular Starter
4,12,17,after FTs,411,Haaland,MCI,FWD,15.5,Nailed Starter
4,12,17,after FTs,4,Gabriel,ARS,DEF,8.0,Nailed Starter
4,12,17,after FTs,504,Vuskovic,BHA,DEF,5.0,Nailed Starter
4,12,17,after FTs,557,Tzolis,ARS,MID,6.5,Regular Starter
4,12,17,after FTs,8,Calafiori,ARS,DEF,5.5,Regular Starter
4,12,17,after FTs,379,Isak,LIV,FWD,9.0,Nailed Starter
4,12,17,after FTs,94,Schade,BRE,MID,6.0,Nailed Starter
4,12,17,after FTs,130,Wieffer,BHA,DEF,5.0,Nailed Starter
4,12,17,after FTs,388,Guéhi,MCI,DEF,6.0,Nailed Starter
4,12,17,after FTs,68,Tavernier,BOU,MID,6.0,Nailed Starter
4,12,17,after FTs,384,Donnarumma,MCI,GKP,5.5,Nailed Starter
4,12,17,after FTs,289,Crooks,HUL,MID,4.5,Regular Starter
4,12,17,after FTs,106,Thiago,BRE,FWD,8.0,Nailed Starter
4,12,17,after FTs,290,Slater,HUL,MID,4.5,Regular Starter
4,12,17,after FTs,572,Tzolakis,HUL,GKP,4.5,Regular Starter
